Position;miRNA ID;Plate
P13;cel-miR-39;Plate 1
P14;cel-miR-39;Plate 1
P15;SNORD61;Plate 1
P16;SNORD68;Plate 1
P17;SNORD72;Plate 1
P18;SNORD95;Plate 1
P19;SNORD96A;Plate 1
P20;RNU6-2;Plate 1
P21;miRTC;Plate 1
P22;miRTC;Plate 1
P23;PPC;Plate 1
P24;PPC;Plate 1
A01;hsa-miR-19b-2*;Plate 2
A02;hsa-miR-200a;Plate 2
A03;hsa-miR-1305;Plate 2
A04;hsa-miR-1306;Plate 2
A05;hsa-miR-21*;Plate 2
A06;hsa-miR-216a;Plate 2
A07;hsa-miR-216b;Plate 2
A08;hsa-miR-217;Plate 2
A09;hsa-miR-22*;Plate 2
A10;hsa-miR-221;Plate 2
A11;hsa-miR-224;Plate 2
A12;hsa-miR-24-1*;Plate 2
A13;hsa-miR-24-2*;Plate 2
A14;hsa-miR-25*;Plate 2
A15;hsa-miR-27a*;Plate 2
A16;hsa-miR-29a*;Plate 2
A17;hsa-miR-29b-1*;Plate 2
A18;hsa-miR-29b-2*;Plate 2
A19;hsa-miR-29c*;Plate 2
A20;hsa-miR-302a*;Plate 2
A21;hsa-miR-302d*;Plate 2
A22;hsa-miR-30a*;Plate 2
A23;hsa-miR-30c-1*;Plate 2
A24;hsa-miR-30c-2*;Plate 2
B01;hsa-miR-30e*;Plate 2
B02;hsa-miR-31;Plate 2
B03;hsa-miR-324-3p;Plate 2
B04;hsa-miR-326;Plate 2
B05;hsa-miR-328;Plate 2
B06;hsa-miR-33b;Plate 2
B07;hsa-miR-139-3p;Plate 2
B08;hsa-miR-1307;Plate 2
B09;hsa-miR-367*;Plate 2
B10;hsa-miR-374b*;Plate 2
B11;hsa-miR-381;Plate 2
B12;hsa-miR-409-3p;Plate 2
B13;hsa-miR-409-5p;Plate 2
B14;hsa-miR-411*;Plate 2
B15;hsa-miR-424*;Plate 2
B16;hsa-miR-425*;Plate 2
B17;hsa-miR-431*;Plate 2
B18;hsa-miR-451;Plate 2
B19;hsa-miR-483-3p;Plate 2
B20;hsa-miR-486-3p;Plate 2
B21;hsa-miR-490-3p;Plate 2
B22;hsa-miR-509-3-5p;Plate 2
B23;hsa-miR-509-5p;Plate 2
