"","x"
"1067","PIK3R1"
"1068","RAB18"
"1069","SOCS3"
"1070","ZBTB34"
"1071","ZNF134"
"1072","ZNF772"
"1073","PTGS2"
"1074","AZIN1"
"1075","MYO5A"
"1076","SPSB1"
"1077","EIF6"
"1078","ENPP4"
"1079","FNDC3A"
"1080","TNFAIP3"
"1081","TSPAN1"
"1082","ZBTB34"
"1083","ACVR2B"
"1084","CDCA4"
"1085","CDKN1A"
"1086","HPRT1"
"1087","RGMB"
"1088","SARAF"
"1089","SUCO"
"1090","ARPP19"
"1091","CCNE2"
"1092","CLIC4"
"1093","DCTN5"
"1094","IER3IP1"
"1095","IGF2BP1"
"1096","LMNB2"
"1097","MAPK6"
"1098","MFSD9"
"1099","MTFR1"
"1100","PARP1"
"1101","PMAIP1"
"1102","PXK"
"1103","RAN"
"1104","SF1"
"1105","SNRPB"
"1106","TNRC6A"
"1107","TSNAX"
"1108","VGLL4"
"1109","WEE1"
"1110","ZNF623"
"1111","ZNFX1"
"1112","AP1G1"
"1113","CARNMT1"
"1114","CASP3"
"1115","CASP9"
"1116","CD81"
"1117","CDKN1A"
"1118","CREB1"
"1119","DAZAP2"
"1120","DENND5B"
"1121","DICER1"
"1122","DPY19L1"
"1123","EIF4G2"
"1124","HSP90B1"
"1125","IPO7"
"1126","KPNA2"
"1127","MCL1"
"1128","NUFIP2"
"1129","PHF3"
"1130","PPP1R15B"
"1131","PURB"
"1132","RBM12B"
"1133","SLC7A2"
"1134","SPAG1"
"1135","SREBF2"
"1136","STYX"
"1137","TGFBR2"
"1138","TMEM192"
"1139","TPI1"
"1140","TPM4"
"1141","ZFP36L2"
"1142","ZNF124"
"1143","ZNF678"
"1144","ARL6IP1"
"1145","CCNB1"
"1146","CPSF6"
"1147","KCTD20"
"1148","MAP3K2"
"1149","MORF4L2"
"1150","NBEA"
"1151","NUFIP2"
"1152","PATJ"
"1153","PPP2CB"
"1154","TNRC6B"
"1155","TXNIP"
"1156","YWHAE"
"1157","ZBTB18"
"1158","ZBTB21"
"1159","ATCAY"
"1160","BTG2"
"1161","CNBP"
"1162","FBXW7"
"1163","HIF1AN"
"1164","IGF1R"
"1165","LHFPL2"
"1166","TAOK1"
"1167","TXNIP"
"1168","TMEM189-UBE2V1"
"1169","SMARCA5"
"1170","WNK1"
"1171","CCNT2"
"1172","CTNNB1"
"1173","FGF2"
"1174","PAICS"
"1175","PDIA6"
"1176","EPG5"
"1177","AARS1"
"1178","ADAMTS1"
"1179","AGO1"
"1180","AKTIP"
"1181","APBA3"
"1182","ASNS"
"1183","ATP2B1"
"1184","ATP5F1B"
"1185","BAG6"
"1186","BCOR"
"1187","BICD2"
"1188","CBX6"
"1189","CCND2"
"1190","CDC6"
"1191","CDK6"
"1192","CEP250"
"1193","CIC"
"1194","CKAP4"
"1195","CSNK2A1"
"1196","DDIT4"
"1197","DDX55"
"1198","DLAT"
"1199","DNAJC10"
"1200","EBNA1BP2"
"1201","EDF1"
"1202","EIF4G1"
"1203","FBN2"
"1204","FBXL19"
"1205","FLCN"
"1206","FOXK1"
"1207","FREM2"
"1208","GANAB"
"1209","GAPDH"
"1210","GDF11"
"1211","GGA3"
"1212","GIGYF1"
"1213","GLA"
"1214","GNAS"
"1215","GNPTAB"
"1216","GOLGA2"
"1217","GTF3C1"
"1218","GTF3C4"
"1219","H2AC18"
"1220","H2BC21"
"1221","HDLBP"
"1222","HEATR1"
"1223","HIPK2"
"1224","HNRNPA2B1"
"1225","HNRNPL"
"1226","HNRNPU"
"1227","HSPA1B"
"1228","ITPRIPL2"
"1229","KMT2D"
"1230","LARP1"
"1231","LIG1"
"1232","LMNA"
"1233","LMTK2"
"1234","MAGEF1"
"1235","MAP7D1"
"1236","MAZ"
"1237","MCL1"
"1238","MOV10"
"1239","MPP2"
"1240","MRPS15"
"1241","MT-CO1"
"1242","NACA"
"1243","NCLN"
"1244","NMNAT2"
"1245","NONO"
"1246","NPTX1"
"1247","NSD1"
"1248","PBX3"
"1249","PLOD2"
"1250","PPIF"
"1251","PRDX4"
"1252","PRR12"
"1253","PTMA"
"1254","PWWP2A"
"1255","RANBP10"
"1256","RPL23"
"1257","RPS2"
"1258","SAE1"
"1259","SGMS2"
"1260","SMARCC2"
"1261","SRCAP"
"1262","SRRM2"
"1263","ST14"
"1264","TACO1"
"1265","THRAP3"
"1266","TM9SF2"
"1267","TNPO2"
"1268","TOMM7"
"1269","TRIP10"
"1270","TUFM"
"1271","UBE2C"
"1272","UVRAG"
"1273","VIM"
"1274","WDR6"
"1275","YBX1"
"1276","YDJC"
"1277","ZNF687"
"1278","ZNF711"
"1279","BCL2"
"1280","BCL2L2"
"1281","YAP1"
"1282","CDKN1A"
"1283","DCAF7"
"1284","DDX3X"
"1285","DEPDC1B"
"1286","EIF4A2"
"1287","FGD4"
"1288","FIGN"
"1289","GOLT1B"
"1290","ID4"
"1291","KIF5B"
"1292","LDLR"
"1293","MOB1A"
"1294","NUFIP2"
"1295","SAR1A"
"1296","SEPTIN2"
"1297","SETD7"
"1298","SIAH2"
"1299","TES"
"1300","THOC2"
"1301","TOB1"
"1302","UTP18"
"1303","MGMT"
"1304","ANKRD52"
"1305","ARHGDIA"
"1306","ECE1"
"1307","ING4"
"1308","PLEC"
"1309","RAC1"
"1310","USP22"
"1311","ACTB"
"1312","ADAMTS5"
"1313","AGAP1"
"1314","ALYREF"
"1315","CDKN1B"
"1316","CELF1"
