"","x"
"1165","MAPKAPK5"
"1166","MARCHF6"
"1167","MARCHF8"
"1168","MARCKSL1"
"1169","MAST4"
"1170","MASTL"
"1171","MBNL2"
"1172","MBOAT2"
"1173","MBP"
"1174","MCFD2"
"1175","MCL1"
"1176","MCM3AP"
"1177","MCM4"
"1178","MDM2"
"1179","MED1"
"1180","MED13L"
"1181","MEGF9"
"1182","MET"
"1183","METTL7A"
"1184","METTL9"
"1185","MEX3C"
"1186","MFAP3"
"1187","MFSD6"
"1188","MIA3"
"1189","MINDY2"
"1190","MITF"
"1191","MKKS"
"1192","MKRN2"
"1193","MOAP1"
"1194","MOB1A"
"1195","MOB1B"
"1196","MOB4"
"1197","MPC1"
"1198","MPP6"
"1199","MRPL18"
"1200","MRPL42"
"1201","MRPS21"
"1202","MRPS25"
"1203","MRPS6"
"1204","MSH2"
"1205","MSI1"
"1206","MT-CO2"
"1207","MT-ND2"
"1208","MTHFD2"
"1209","MTIF2"
"1210","MTMR4"
"1211","MTPN"
"1212","MTUS1"
"1213","MYH10"
"1214","MYL12A"
"1215","MYO1B"
"1216","MZT1"
"1217","N4BP2L2"
"1218","NAB1"
"1219","NANOG"
"1220","NAP1L1"
"1221","NAP1L2"
"1222","NBEA"
"1223","NBEAL1"
"1224","NCKAP1"
"1225","NCOA3"
"1226","NCOA4"
"1227","NDFIP1"
"1228","NDFIP2"
"1229","NECAB1"
"1230","NECAP1"
"1231","NEFL"
"1232","NF1"
"1233","NFIA"
"1234","NFIB"
"1235","NFIC"
"1236","NFIX"
"1237","NFYB"
"1238","NIPBL"
"1239","NONO"
"1240","NOTCH2"
"1241","NOVA1"
"1242","NPC1"
"1243","NPEPPS"
"1244","NPIPB4"
"1245","NPM1"
"1246","Nr1i3"
"1247","NR3C1"
"1248","NREP"
"1249","NRP1"
"1250","NRXN1"
"1251","NSF"
"1252","NT5DC1"
"1253","NTRK2"
"1254","NUCKS1"
"1255","NUP43"
"1256","NXPE3"
"1257","OSBPL2"
"1258","OSBPL8"
"1259","OSER1"
"1260","OTUD6B"
"1261","OTUD7B"
"1262","OXR1"
"1263","P3H3"
"1264","PABPC4"
"1265","PAG1"
"1266","PAIP1"
"1267","PAK3"
"1268","PALB2"
"1269","PANK3"
"1270","PAQR3"
"1271","PARD3"
"1272","PAX9"
"1273","PCDH10"
"1274","PCDH9"
"1275","PCDHA9"
"1276","PCGF3"
"1277","PCYOX1"
"1278","PDCD6"
"1279","PDE10A"
"1280","PDHB"
"1281","PDIA6"
"1282","PDS5A"
"1283","PDZD2"
"1284","PFKFB4"
"1285","PHC3"
"1286","PHF10"
"1287","PHF3"
"1288","PIK3C3"
"1289","PIKFYVE"
"1290","PITPNA"
"1291","PKN2"
"1292","PKP4"
"1293","PLCB1"
"1294","PLCL1"
"1295","PLEKHA6"
"1296","PLS1"
"1297","PLS3"
"1298","PMAIP1"
"1299","PMP2"
"1300","PMPCB"
"1301","PNISR"
"1302","PNPLA6"
"1303","POU5F1"
"1304","PPARG"
"1305","PPCS"
"1306","PPID"
"1307","PPIG"
"1308","PPM1A"
"1309","PPM1K"
"1310","PPP1CB"
"1311","PPP1R14B"
"1312","PPP1R37"
"1313","PPP1R7"
"1314","PPP1R9A"
"1315","PPP4R2"
"1316","PREX2"
"1317","PRKAA1"
"1318","PRKACB"
"1319","PRKAR2B"
"1320","PRKCA"
"1321","PRKCB"
"1322","PRKCSH"
"1323","PRLR"
"1324","PROX1"
"1325","PRPF38B"
"1326","PRPF4"
"1327","PRRC2B"
"1328","PRXL2A"
"1329","PSD3"
"1330","PSMB6"
"1331","PSMC1"
"1332","PSMD12"
"1333","PSPC1"
"1334","PTBP1"
"1335","PURA"
"1336","PXN"
"1337","QKI"
"1338","RAB11A"
"1339","RAB14"
"1340","RAB1A"
"1341","RAB2A"
"1342","RABGAP1L"
"1343","RAD17"
"1344","RANBP2"
"1345","RANBP9"
"1346","RAPGEF2"
"1347","RAPGEF5"
"1348","RASAL2"
"1349","RASGRF1"
"1350","RASSF8"
"1351","RBBP6"
"1352","RBM26"
"1353","RBM27"
"1354","RBM4"
"1355","RCOR1"
"1356","REPS2"
"1357","RETREG1"
"1358","RFTN2"
"1359","RGS5"
"1360","RIC1"
"1361","RICTOR"
"1362","RIF1"
"1363","RIMS3"
"1364","RIOK2"
"1365","RNF141"
"1366","RNF217"
"1367","RNF6"
"1368","RPA1"
"1369","RPL15"
"1370","RPL18"
"1371","RPL28"
"1372","RPL35"
"1373","RPL37"
"1374","RPL9"
